"filename", "language", "C++", "Markdown", "C", "comment", "blank", "total"
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/slic3r.cpp", "C++", 416, 0, 0, 51, 43, 510
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/slic3r.hpp", "C++", 27, 0, 0, 2, 12, 41
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/standalone/config.h", "C++", 0, 0, 0, 0, 1, 1
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_3mf.cpp", "C++", 16, 0, 0, 0, 4, 20
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_amf.cpp", "C++", 81, 0, 0, 0, 5, 86
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_config.cpp", "C++", 203, 0, 0, 0, 12, 215
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_extrusion_entity.cpp", "C++", 64, 0, 0, 4, 12, 80
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_fill.cpp", "C++", 162, 0, 0, 249, 37, 448
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_flow.cpp", "C++", 178, 0, 0, 9, 16, 203
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_gcode.cpp", "C++", 55, 0, 0, 1, 14, 70
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_gcodewriter.cpp", "C++", 117, 0, 0, 0, 11, 128
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_geometry.cpp", "C++", 266, 0, 0, 80, 33, 379
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_log.cpp", "C++", 684, 0, 0, 0, 12, 696
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_model.cpp", "C++", 43, 0, 0, 0, 8, 51
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_polygon.cpp", "C++", 37, 0, 0, 2, 9, 48
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_print.cpp", "C++", 133, 0, 0, 4, 10, 147
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_printgcode.cpp", "C++", 258, 0, 0, 0, 15, 273
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_printobject.cpp", "C++", 170, 0, 0, 0, 9, 179
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_skirt_brim.cpp", "C++", 233, 0, 0, 8, 33, 274
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_support_material.cpp", "C++", 218, 0, 0, 21, 57, 296
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_test_data.cpp", "C++", 26, 0, 0, 0, 4, 30
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_transformationmatrix.cpp", "C++", 207, 0, 0, 0, 11, 218
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/libslic3r/test_trianglemesh.cpp", "C++", 375, 0, 0, 0, 54, 429
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/test_data.cpp", "C++", 2319, 0, 0, 1, 28, 2348
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/test_data.hpp", "C++", 51, 0, 0, 8, 18, 77
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/test/test_harness.cpp", "C++", 2, 0, 0, 0, 1, 3
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/utils/extrude-tin.cpp", "C++", 45, 0, 0, 3, 11, 59
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/BSpline/BSpline.cpp", "C++", 614, 0, 0, 182, 84, 880
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/BSpline/BSpline.h", "C++", 96, 0, 0, 300, 57, 453
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/BSpline/BandedMatrix.h", "C++", 256, 0, 0, 56, 64, 376
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/Zip/ZipArchive.cpp", "C++", 55, 0, 0, 4, 10, 69
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/Zip/ZipArchive.hpp", "C++", 26, 0, 0, 16, 15, 57
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/admesh/connect.c", "C", 0, 0, 777, 86, 126, 989
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/admesh/normals.c", "C", 0, 0, 236, 55, 43, 334
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/admesh/portable_endian.h", "C++", 73, 0, 0, 13, 38, 124
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/admesh/shared.c", "C", 0, 0, 189, 25, 33, 247
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/admesh/stl.h", "C++", 178, 0, 0, 31, 28, 237
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/admesh/stl_io.c", "C", 0, 0, 321, 28, 47, 396
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/admesh/stlinit.c", "C", 0, 0, 303, 83, 60, 446
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/admesh/util.c", "C", 0, 0, 508, 33, 83, 624
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/args.hpp", "C++", 125, 0, 0, 30, 13, 168
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/cenv.hpp", "C++", 92, 0, 0, 27, 10, 129
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/config.hpp", "C++", 26, 0, 0, 21, 7, 54
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/convert.hpp", "C++", 75, 0, 0, 71, 9, 155
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/cstdio.hpp", "C++", 65, 0, 0, 29, 8, 102
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/cstdlib.hpp", "C++", 5, 0, 0, 9, 3, 17
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/filebuf.hpp", "C++", 334, 0, 0, 43, 39, 416
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/fstream.hpp", "C++", 221, 0, 0, 35, 28, 284
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/integration/filesystem.hpp", "C++", 14, 0, 0, 12, 3, 29
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/iostream.cpp", "C++", 219, 0, 0, 9, 34, 262
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/iostream.hpp", "C++", 53, 0, 0, 31, 16, 100
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/stackstring.hpp", "C++", 114, 0, 0, 28, 13, 155
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/system.hpp", "C++", 25, 0, 0, 14, 8, 47
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/utf8_codecvt.hpp", "C++", 417, 0, 0, 53, 30, 500
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/boost/nowide/windows.hpp", "C++", 18, 0, 0, 12, 10, 40
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/clipper.cpp", "C++", 3790, 0, 0, 446, 394, 4630
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/clipper.hpp", "C++", 302, 0, 0, 59, 46, 407
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/ascii.h", "C++", 85, 0, 0, 3, 5, 93
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/asciitab.h", "C++", 32, 0, 0, 3, 2, 37
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/expat.h", "C++", 419, 0, 0, 510, 120, 1049
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/expat_config.h", "C++", 16, 0, 0, 10, 8, 34
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/expat_external.h", "C++", 71, 0, 0, 39, 20, 130
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/iasciitab.h", "C++", 32, 0, 0, 4, 2, 38
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/internal.h", "C++", 42, 0, 0, 38, 16, 96
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/latin1tab.h", "C++", 32, 0, 0, 3, 2, 37
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/nametab.h", "C++", 150, 0, 0, 0, 1, 151
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/utf8tab.h", "C++", 32, 0, 0, 3, 3, 38
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/xmlparse.c", "C", 0, 0, 5778, 328, 353, 6459
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/xmlrole.c", "C", 0, 0, 1244, 10, 69, 1323
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/xmlrole.h", "C++", 99, 0, 0, 5, 11, 115
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/xmltok.c", "C", 0, 0, 1496, 75, 167, 1738
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/xmltok.h", "C++", 221, 0, 0, 48, 54, 323
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/expat/xmltok_impl.h", "C++", 40, 0, 0, 4, 3, 47
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/exprtk/exprtk.hpp", "C++", 32716, 0, 0, 537, 6798, 40051
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/BoundingBox.cpp", "C++", 244, 0, 0, 0, 28, 272
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/BoundingBox.hpp", "C++", 92, 0, 0, 3, 16, 111
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/BridgeDetector.cpp", "C++", 170, 0, 0, 88, 49, 307
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/BridgeDetector.hpp", "C++", 35, 0, 0, 11, 10, 56
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ClipperUtils.cpp", "C++", 396, 0, 0, 90, 84, 570
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ClipperUtils.hpp", "C++", 171, 0, 0, 15, 40, 226
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ConditionalGCode.cpp", "C++", 108, 0, 0, 14, 29, 151
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ConditionalGCode.hpp", "C++", 10, 0, 0, 19, 10, 39
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Config.cpp", "C++", 29, 0, 0, 0, 6, 35
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Config.hpp", "C++", 69, 0, 0, 26, 31, 126
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ConfigBase.cpp", "C++", 817, 0, 0, 57, 104, 978
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ConfigBase.hpp", "C++", 622, 0, 0, 133, 119, 874
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ExPolygon.cpp", "C++", 497, 0, 0, 86, 87, 670
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ExPolygon.hpp", "C++", 235, 0, 0, 15, 37, 287
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ExPolygonCollection.cpp", "C++", 134, 0, 0, 0, 18, 152
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ExPolygonCollection.hpp", "C++", 52, 0, 0, 2, 12, 66
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Exception.hpp", "C++", 21, 0, 0, 5, 6, 32
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Extruder.cpp", "C++", 129, 0, 0, 15, 26, 170
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Extruder.hpp", "C++", 40, 0, 0, 7, 10, 57
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ExtrusionEntity.cpp", "C++", 225, 0, 0, 22, 33, 280
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ExtrusionEntity.hpp", "C++", 150, 0, 0, 18, 16, 184
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ExtrusionEntityCollection.cpp", "C++", 237, 0, 0, 8, 32, 277
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/ExtrusionEntityCollection.hpp", "C++", 61, 0, 0, 11, 19, 91
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/Fill.cpp", "C++", 84, 0, 0, 10, 20, 114
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/Fill.hpp", "C++", 67, 0, 0, 26, 31, 124
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/Fill3DHoneycomb.cpp", "C++", 163, 0, 0, 41, 19, 223
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/Fill3DHoneycomb.hpp", "C++", 21, 0, 0, 1, 10, 32
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/FillConcentric.cpp", "C++", 46, 0, 0, 7, 11, 64
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/FillConcentric.hpp", "C++", 20, 0, 0, 0, 8, 28
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/FillGyroid.cpp", "C++", 151, 0, 0, 21, 28, 200
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/FillGyroid.hpp", "C++", 21, 0, 0, 3, 11, 35
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/FillHoneycomb.cpp", "C++", 95, 0, 0, 17, 14, 126
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/FillHoneycomb.hpp", "C++", 36, 0, 0, 1, 11, 48
"/home/kangyucheng/Documents/CODE/Slic3r_new/src/xssrc/libslic3r/Fill/FillPlanePath.cpp", "C++", 147, 0, 0, 44, 20, 211
